"authorsTitle.o","correlation.o","fis.o","seFish.o","n.o","pValFish.o","pVal.o","testStatistic.o","correlation.r","fis.r","n.r","seFish.r","pValFish.r","pVal.r","testStatistic.r","seDifference.ro","source","abrev","cohenD.o","seCohenD.o","cohenD.r","seCohenD.r","significant.r","significantSameDirection.r","fisherZDiff","correlationDifference.ro","percentageChangeES.ro","cleanedpVal.r","cleanedpVal.o","seFishAprox.r","seFishAprox.o","cohensD.r","cohensD.o","bf10","bf01","bfplus0","bf0plus","bfRep0","bf0Rep","statisticallyEquiv.ro","normalisedpVal.r","minDetectableZ","probRealEffect","trueRepEffect","probH1Original","probH1decrease","probH0True","mostLikelyClass"
"K Fiedler-The ultimate sampling dilemma in experience-based decision making.",0.304772411,0.314772324350052,0.115470053837925,78,0.00320526938389901,"<.001","F(2, 76) = 8.67",0.434510306,0.465443374485164,74.4,0.118345267082788,4.19587488598823e-05,"0.00003","F(1.58, 72.4) = 19.48",0.165344898845503,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,TRUE,TRUE,0.150671050135112,0.129737895,0.4786667647679,2.9999999999778e-05,0.001,0.118345267082788,0.115470053837925,0.96,0.64,231.332363321164,0.00432278469663008,462.634784671667,0.00216153223478365,878.038277057208,0.00113890251271454,FALSE,0.00547725296152899,0.189931336859593,0.9829325,0.404944023827616,0.703575,0.28925,0.007175,"H1 original effect"
"K Oberauer-How to say no: Single-and dual-process theories of short-term recognition tested on negative probes.",0.560499145,0.63356067564677,0.182574185835055,33,0.0002600793048632,"<.001","F(1, 31) = 14.2",0.401939168,0.425959601340054,21,0.235702260395516,0.0353660542489684,"0.071","F(1,19)=3.661",0.298142396999972,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,FALSE,FALSE,-0.207601074306716,-0.158559977,-0.327673547754186,0.0709999999999998,0.001,0.235702260395516,0.182574185835055,0.88,1.35,1.24720487445627,0.801792889428818,2.38890772725044,0.418601350145479,3.48939345228751,0.286582758199549,FALSE,0.269716557026733,0.300307811758503,0.951855,0.446531598336671,0.466025,0.5055,0.028475,"H1 attenuated"
"L Sahakyan, PF Delaney, ER Waldum-Intentional forgetting is easier after two ""shots"" than one.",0.224092029,0.227960364129573,0.103695169473043,96,0.0139613699267071,"<.05","F(1,94) = 4.97",0.019422053,0.0194244956568418,108,0.0975900072948533,0.421115003708881,"0.84","F(1, 106) = 0.04",0.142395567683311,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,FALSE,FALSE,-0.208535868472731,-0.204669976,-0.914790030578294,0.84,NA,0.0975900072948533,0.103695169473043,0.04,0.46,0.122707095659804,8.14948797070731,0.141936453932026,7.04540639347595,0.248452418263294,4.02491554314542,FALSE,1.15927948072741,0.170563375605082,0.840855,0.0472591244136161,0.369275,0.53775,0.092975,"H1 attenuated"
"LS Colzato, MT Bajo, W van den Wildenberg, D Paolieri, S Nieuwenhuis, W La Heij, B Hommel-How does bilingualism improve executive control? A comparison of active and reactive inhibition mechanisms.",0.219359299,0.222982920488814,0.104257207028537,95,0.016226864965184,"0.002","F(3, 93) = 5.23",0.064661345,0.0647516900439762,92,0.105999788000636,0.270644074115025,"0.72","F(2.33, 90) = .38",0.148679253003138,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,FALSE,FALSE,-0.158231230444838,-0.154697954,-0.709611436149324,0.72,0.00199999999999978,0.105999788000636,0.104257207028537,0.13,0.45,0.156723521851234,6.38066314607981,0.228089391590976,4.38424598805219,0.502338795191851,1.99068837519922,FALSE,1.01319750009536,0.17148784511672,0.86787,0.0856033439349568,0.40345,0.523025,0.073525,"H1 attenuated"
"M Bassok, SF Pedigo, AT Oskarsson-Priming addition facts with semantic relations.",0.363732358,0.381180652550176,0.0813788458771159,154,1.4064696096454e-06,"<.001","F(1, 152) = 23.176",0.284274426,0.29232618593634,50,0.145864991497895,0.0225303515131735,"0.045","F(1, 48) = 4.22",0.167030273606231,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,TRUE,TRUE,-0.0888544666138364,-0.079457932,-0.23310329634881,0.0449999999999998,0.001,0.145864991497895,0.0813788458771159,0.59,0.78,1.23331322896407,0.810824027923512,2.40521456926392,0.415763322232842,5.7447017935469,0.174073439481804,FALSE,0.213756132472434,0.133856289798099,0.94509,0.29022648994631,0.503625,0.46605,0.030325,"H1 original effect"
"M Couture, D Lafond, S Tremblay-Learning correct responses and errors in the Hebb repetition effect: two faces of the same coin.",0.348120689,0.363303690199693,0.145864991497895,50,0.00637486193834998,"<.001","F(3, 48) = 9.14",0.2733272,0.280456144360303,61,0.131306432859723,0.0163441757022644,"0.002","F(3, 59) = 5.681",0.196259968039908,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,TRUE,TRUE,-0.0828475458393904,-0.074793489,-0.228039373323878,0.00199999999999978,0.01,0.131306432859723,0.145864991497895,0.57,0.74,1.46868737551677,0.680880095158539,2.8845269207074,0.34667729838859,6.26500247908095,0.159616856232545,FALSE,0.0447362801022449,0.239926560310558,0.9404125,0.275507328537399,0.492,0.476025,0.031975,"H1 original effect"
"M Reynolds, D Besner-Contextual effects on reading aloud: Evidence for pathway control.",0.160955695,0.162367653957866,0.103695169473043,96,0.0586957384967899,">0.1","F(1, 94) = 2.5",0.14406846,0.145077808249329,94,0.104828483672192,0.0831862570929059,"0.17","F (1, 92) = 1.95",0.147450666872192,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,FALSE,FALSE,-0.0172898457085368,-0.016887235,-0.106485776489839,0.17,0.05,0.104828483672192,0.103695169473043,0.29,0.33,0.331631066845289,3.01539903819239,0.606741504803171,1.64814833348908,1.86399103278836,0.536483267574572,FALSE,0.424988782962403,0.170563375605082,0.9025225,0.13795373197582,0.484625,0.460725,0.05465,"H1 original effect"
"MJ Yap, DA Balota, CS Tse, D Besner-On the additive effects of stimulus quality and word frequency in lexical decision: Evidence for opposing interactive influences revealed by RT distributional analyses.",0.378068955,0.397804631884721,0.182574185835055,33,0.0146708231122155,"0.03","F(1, 31) = 5.17",0.379573968,0.399561810599662,72,0.120385853085769,0.000451686504198292,"0.001","F(1,70)=11.783",0.218691762434075,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,TRUE,TRUE,0.00175717871494008,0.001505013,0.00441719018357052,0.000999999999999778,0.0299999999999998,0.120385853085769,0.182574185835055,0.82,0.82,29.4322207997379,0.0339763691909006,58.8296821299827,0.0169982220504018,129.712436933675,0.00770936098063847,FALSE,0.0316280494375682,0.300307811758503,0.9739425,0.376065305595453,0.578775,0.409075,0.01215,"H1 original effect"
"N Janssen, W Schirm, BZ Mahon, A Caramazza-Semantic interference in a delayed naming task: Evidence for the response exclusion hypothesis.",0.341773488,0.356099200575972,0.182574185835055,33,0.0255621081937841,"<.06","F(1,31) = 4.1",0.103261105,0.103630490542844,92,0.105999788000636,0.164124201358352,"0.33","F1(1, 90) = .97",0.211114396452523,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,FALSE,FALSE,-0.252468710033128,-0.238512383,-0.708984208964168,0.33,0.01,0.105999788000636,0.182574185835055,0.21,0.73,0.208954474421179,4.7857314506908,0.348425752352118,2.87005192139014,0.445997315681515,2.24216596118282,TRUE,0.611939714633867,0.300307811758503,0.848095,0.125867719956372,0.34465,0.5688,0.08655,"H1 attenuated"
"NB Turk-Browne, PJ Isola, BJ Scholl, TA Treat-Multidimensional visual statistical learning.",0.73782079,0.945679455083732,0.408248290463863,9,0.010267343205507,"0.023","t(7) = 2.892",0.703904904,0.874998612661069,16,0.277350098112615,0.000802896703250277,"0.002","t(14) = 3.708",0.493548116792825,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,TRUE,TRUE,-0.0706808424226625,-0.033915886,-0.0747408036017916,0.00199999999999978,0.0229999999999998,0.277350098112615,0.408248290463863,1.98,2.19,21.3834298166025,0.0467651826005753,42.6757857361584,0.0234324918159086,70.0922446392582,0.0142669136242771,FALSE,0.0447362801022449,0.671508681266223,0.9949925,0.785848845182327,0.640825,0.356825,0.00235,"H1 original effect"
"PA White-Accounting for occurrences: A new view of the use of contingency information in causal judgment.",0.623367433,0.730493922145522,0.169030850945703,38,7.74297327462007e-06,"<.001","F(1, 36) = 22.88",0.480717115,0.523916497045395,39,0.166666666666667,0.000834704981214036,"0.002","F(1, 37) =11.12",0.237379877725991,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,TRUE,TRUE,-0.206577425100127,-0.142650318,-0.282791435818373,0.00199999999999978,0.001,0.166666666666667,0.169030850945703,1.1,1.59,20.3167445899471,0.049220483900497,40.5821435211573,0.0246413795140874,69.2233434356656,0.0144459939432046,FALSE,0.0447362801022449,0.278031008244734,0.98682,0.538405878789331,0.4889,0.503725,0.007375,"H1 attenuated"
"S Farrell-Multiple roles for time in short-term memory: Evidence from serial recall of order and timing.",0.516812354,0.571980598502644,0.162221421130763,41,0.00021100306230802,"0.001","t(39) = 3.77",0.315999964,0.327197057137755,41,0.162221421130763,0.0218488983104923,"0.044","t(39) = 2.08",0.229415733870562,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,TRUE,TRUE,-0.244783541364888,-0.20081239,-0.427957769906346,0.0439999999999998,0.000999999999999778,0.162221421130763,0.162221421130763,0.67,1.21,1.37625589119582,0.726609060420518,2.68451122874052,0.372507288959698,3.44619745388734,0.290174899546743,FALSE,0.211331302402152,0.266830492916157,0.941145,0.359807768460454,0.395425,0.572625,0.03195,"H1 attenuated"
"S Pacton, P Perruchet-An attention-based associative account of adjacent and nonadjacent dependency learning.",0.713921386,0.895136292560066,0.229415733870562,22,4.77383121965843e-05,"<.01","F(1, 20) = 20.79",0.681560537,0.832022572221689,22,0.229415733870562,0.000143531960097637,"0.00048","F(1, 20)=17.35",0.324442842261525,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,TRUE,TRUE,-0.0631137203383774,-0.032360849,-0.0705073862639105,0.000479999999999778,0.05,0.229415733870562,0.229415733870562,1.86,2.04,79.9631140236515,0.0125057660924038,159.858585865776,0.00625552887625093,368.220977648259,0.00271576053701982,FALSE,0.0219106553910796,0.377355301936727,0.9977,0.762897020566563,0.693075,0.305825,0.0011,"H1 original effect"
"T Makovski, R Sussman, YV Jiang-Orienting attention in visual working memory reduces interference from memory probes.",0.551178255,0.620072140594967,0.316227766016838,13,0.0249488289359967,"<.05","F(1,11) = 4.8",0.349791589,0.365206268595273,19,0.25,0.0720317263738123,"0.142","F(1,17)=2.37",0.403112887414928,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,FALSE,FALSE,-0.254865871999694,-0.201386666,-0.411026161819086,0.142,1e-04,0.25,0.316227766016838,0.75,1.32,0.775136553914294,1.29009526766631,1.42403677929103,0.702229053731222,1.78397044611771,0.560547402663653,FALSE,0.386370405781697,0.520148387875558,0.922475,0.380529510064171,0.4238,0.5337,0.0425,"H1 attenuated"
"B Monin, PJ Sawyer, MJ Marquez-The rejection of moral rebels: Resenting those who do the right thing.",0.347251138,0.362314568656241,0.125988157669742,66,0.00201513508770963,"<.01","F(2, 64) = 10.17",0.161063754,0.16247858884867,74,0.118678165819385,0.0854888654939391,"0.1469","F(2, 72) = 1.97",0.173082416539836,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,FALSE,FALSE,-0.199835979807571,-0.186187384,-0.551553807368901,0.1469,0.05,0.118678165819385,0.125988157669742,0.33,0.74,0.364880295177816,2.74062483838069,0.665487390904124,1.5026580723662,0.965233972034088,1.0360182390728,FALSE,0.393339862400336,0.20723207809601,0.89113,0.186280276718064,0.387325,0.5512,0.061475,"H1 attenuated"
"BK Payne, MA Burkley, MB Stokes-Why do implicit and explicit attitude tests diverge? The role of structural fit.",0.352175067,0.367924620459263,0.123091490979333,69,0.00139930609796289,"<.01","t(67) = 3.08",0.150236955,0.151382853963031,178,0.0755928946018454,0.0226097481712696,"0.045","t(176)= 2.016",0.144449994343374,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,TRUE,TRUE,-0.216541766496232,-0.201938112,-0.588549269211539,0.0449999999999998,0.02,0.0755928946018454,0.123091490979333,0.3,0.75,0.684021419419999,1.46194252344894,1.33621155838824,0.748384485766774,1.40161991226617,0.713460183640782,FALSE,0.213756132472434,0.20246748538422,0.88224,0.164122965817424,0.344175,0.59085,0.064975,"H1 attenuated"
"CJ Soto, OP John, SD Gosling, J Potter-The developmental psychometrics of big five self-reports: Acquiescence, factor structure, coherence, and differentiation from ages 10 to 20.",0.022542373,0.022546192531379,0.00208503535895494,230027,1.48818939466243e-27,"<.001","F(21, 230025) = 118.15",0.023841537,0.0238460558679042,455306,0.00148200525655451,1.48955670881675e-58,"2.2e-16","F(21, 455304) = 261.93",0.00255806802656763,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,TRUE,TRUE,0.00129986333652525,0.001299164,0.0576533414551547,-2.04460492503131e-18,1e-04,0.00148200525655451,0.00208503535895494,0.05,0.05,3.04145883888347e+53,3.28789588474952e-54,6.08291767720643e+53,1.64394794252624e-54,Inf,0,FALSE,NA,0.00342957797249911,0.886465,0.0238444712499499,0.491275,0.444875,0.06385,"H1 original effect"
"CR Cox, J Arndt, T Pyszczynski, J Greenberg, A Abdollahi, S Solomon-Terror management and adults' attachment to their parents: The safe haven remains.",0.225490086,0.229432826442352,0.104828483672192,94,0.014311156271985,"0.03","t(92)= -2.22",-0.052290282,-0.0523380189858188,194,0.0723574605292422,0.765260131276621,"0.47","t(192) = -.73",0.127375873238427,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,FALSE,FALSE,-0.28177084542817,-0.277780368,-1.22811913969499,0.47,0.0299999999999998,0.0723574605292422,0.104828483672192,-0.1,0.46,0.116571135999422,8.57845290282628,0.0549373570511966,18.20255020765,0.0677013612359672,14.7707517506862,TRUE,0.755380134174809,0.172427511576028,0.7882525,-0.0272662795723996,0.309425,0.559875,0.1307,"H1 attenuated"
"D Albarrac<d5>n, IM Handley, K Noguchi, KC McCulloch, H Li, J Leeper, RD Brown, A Earl, WP Hart-Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.",0.378345294,0.398127096417791,0.174077655955698,36,0.011095984164784,"0.02","F(1, 34) = 5.68",-0.030485538,-0.0304949873644914,88,0.108465228909328,0.610702282158404,"0.77","F(1, 86) = .08",0.205104208112323,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,FALSE,FALSE,-0.428622083782283,-0.408830832,-1.07659611123904,0.77,0.0199999999999998,0.108465228909328,0.174077655955698,-0.06,0.82,0.138536546221549,7.21831189873023,0.108113466512408,9.24954154425555,0.0723625688364181,13.8192993432915,TRUE,1.07061671809741,0.28633226376994,0.7123625,0.0197564666174323,0.24195,0.59045,0.1676,"H1 attenuated"
"D Albarrac<d5>n, IM Handley, K Noguchi, KC McCulloch, H Li, J Leeper, RD Brown, A Earl, WP Hart-Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.",0.208058463,0.211141100838117,0.104828483672192,94,0.0219964879539132,"0.02","F(2, 92) = 4.36",0.155043132,0.156303691857083,105,0.0990147542976674,0.0572150755087547,"0.085","F(2, 99) = 2.601",0.144197546988978,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,FALSE,FALSE,-0.0548374089810345,-0.053015331,-0.259719252970451,0.0849999999999998,0.0199999999999998,0.0990147542976674,0.104828483672192,0.31,0.43,0.417354411166185,2.39604511955623,0.785577935511575,1.27294817585322,2.27009560171156,0.440510082150743,FALSE,0.295844321213272,0.172427511576028,0.9067125,0.154817208452606,0.473675,0.47285,0.053475,"H1 original effect"
"DB Centerbar, S Schnall, GL Clore, ED Garvin-Affective incoherence: When affective concepts and embodied reactions clash.",0.20573686,0.208715672093056,0.0877058019307029,133,0.00866278582609123,"<.02","F(1, 131) = 5.79",0.094021673,0.0943002047242516,113,0.0953462589245592,0.161324503265793,"0.322","F(1, 111) = .99",0.129550055126259,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,FALSE,FALSE,-0.114415467368804,-0.111715187,-0.548188194117939,0.322,0.05,0.0953462589245592,0.0877058019307029,0.19,0.42,0.190929260269582,5.23754189686825,0.319585884245663,3.12904933946115,0.830363095645185,1.20429244175767,FALSE,0.603406185156651,0.144263206410404,0.88434,0.105228355381801,0.4338,0.4987,0.0675,"H1 attenuated"
"DM Amodio, PG Devine, E Harmon-Jones-Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control.",0.377126878,0.396705896912039,0.182574185835055,33,0.0148958915195548,"0.03","F(1, 31) = 5.14",0.076700677,0.0768516200278652,75,0.117851130197758,0.257165874356524,"0.513","F(1, 73) = 0.432",0.217306746840088,"OSC (2015) 
 General Psychology","OSCRPP",NA,NA,NA,NA,FALSE,FALSE,-0.319854276884174,-0.300426201,-0.806275579400058,0.513,0.0299999999999998,0.117851130197758,0.182574185835055,0.15,0.81,0.177908028330028,5.62088180835185,0.263551536012214,3.79432430989003,0.260333949107593,3.84122010758848,TRUE,0.798399628509846,0.300307811758503,0.814445,0.113125311260661,0.31145,0.5871,0.10145,"H1 attenuated"
