authorsTitle.o,correlation.o,fis.o,seFish.o,n.o,pValFish.o,pVal.o,testStatistic.o,correlation.r,fis.r,n.r,seFish.r,pValFish.r,pVal.r,testStatistic.r,seDifference.ro,source,abrev,cohenD.o,seCohenD.o,cohenD.r,seCohenD.r,significant.r,significantSameDirection.r,fisherZDiff,correlationDifference.ro,percentageChangeES.ro,cleanedpVal.r,cleanedpVal.o,seFishAprox.r,seFishAprox.o,cohensD.r,cohensD.o,bf10,bf01,bfplus0,bf0plus,bfRep0,bf0Rep,statisticallyEquiv.ro,normalisedpVal.r
"NB Turk-Browne, PJ Isola, BJ Scholl, TA Treat-Multidimensional visual statistical learning.",0.73782079,0.945679455,0.40824829,9,0.010267343,0.023,t(7) = 2.892,0.703904904,0.874998613,16,0.277350098,0.000802897,0.002,t(14) = 3.708,0.493548117,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,TRUE,TRUE,-0.070680842,-0.033915886,-0.074740804,0.002,0.023,0.277350098,0.40824829,1.98,2.19,21.38342982,0.046765183,42.67578574,0.023432492,70.09224464,0.014266914,FALSE,0.04473628
PA White-Accounting for occurrences: A new view of the use of contingency information in causal judgment.,0.623367433,0.730493922,0.169030851,38,7.74E-06,<.001,"F(1, 36) = 22.88",0.480717115,0.523916497,39,0.166666667,0.000834705,0.002,"F(1, 37) =11.12",0.237379878,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,TRUE,TRUE,-0.206577425,-0.142650318,-0.282791436,0.002,0.001,0.166666667,0.169030851,1.1,1.59,20.31674459,0.049220484,40.58214352,0.02464138,69.22334344,0.014445994,FALSE,0.04473628
S Farrell-Multiple roles for time in short-term memory: Evidence from serial recall of order and timing.,0.516812354,0.571980599,0.162221421,41,0.000211003,0.001,t(39) = 3.77,0.315999964,0.327197057,41,0.162221421,0.021848898,0.044,t(39) = 2.08,0.229415734,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,TRUE,TRUE,-0.244783541,-0.20081239,-0.42795777,0.044,0.001,0.162221421,0.162221421,0.67,1.21,1.376255891,0.72660906,2.684511229,0.372507289,3.446197454,0.2901749,FALSE,0.211331302
"S Pacton, P Perruchet-An attention-based associative account of adjacent and nonadjacent dependency learning.",0.713921386,0.895136293,0.229415734,22,4.77E-05,<.01,"F(1, 20) = 20.79",0.681560537,0.832022572,22,0.229415734,0.000143532,0.00048,"F(1, 20)=17.35",0.324442842,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,TRUE,TRUE,-0.06311372,-0.032360849,-0.070507386,0.00048,0.05,0.229415734,0.229415734,1.86,2.04,79.96311402,0.012505766,159.8585859,0.006255529,368.2209776,0.002715761,FALSE,0.021910655
"T Makovski, R Sussman, YV Jiang-Orienting attention in visual working memory reduces interference from memory probes.",0.551178255,0.620072141,0.316227766,13,0.024948829,<.05,"F(1,11) = 4.8",0.349791589,0.365206269,19,0.25,0.072031726,0.142,"F(1,17)=2.37",0.403112887,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.254865872,-0.201386666,-0.411026162,0.142,1.00E-04,0.25,0.316227766,0.75,1.32,0.775136554,1.290095268,1.424036779,0.702229054,1.783970446,0.560547403,FALSE,0.386370406
TJ Pleskac-Decision making and learning while taking sequential risks.,0.366615713,0.384507677,NA,NA,NA,<.05,z = 3.10,0.101709161,0.102062073,NA,NA,NA,0.21,z = 1.25,NA,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.282445604,-0.264906552,-0.734564278,0.21,0.05,NA,NA,0.2,0.79,NA,NA,NA,NA,NA,NA,NA,0.476033818
"B Monin, PJ Sawyer, MJ Marquez-The rejection of moral rebels: Resenting those who do the right thing.",0.347251138,0.362314569,NA,66,0.002015135,<.01,"F(2, 64) = 10.17",0.161063754,0.162478589,74,NA,0.085488865,0.1469,"F(2, 72) = 1.97",0.173082417,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.19983598,-0.186187384,-0.551553807,0.1469,0.05,0.118678166,0.125988158,0.33,0.74,0.364880295,2.740624838,0.665487391,1.502658072,0.965233972,1.036018239,FALSE,0.393339862
"BK Payne, MA Burkley, MB Stokes-Why do implicit and explicit attitude tests diverge? The role of structural fit.",0.352175067,0.36792462,0.123091491,69,0.001399306,<.01,t(67) = 3.08,0.150236955,0.151382854,178,0.075592895,0.022609748,0.045,t(176)= 2.016,0.144449994,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,TRUE,TRUE,-0.216541766,-0.201938112,-0.588549269,0.045,0.02,0.075592895,0.123091491,0.3,0.75,0.684021419,1.461942523,1.336211558,0.748384486,1.401619912,0.713460184,FALSE,0.213756132
"CJ Soto, OP John, SD Gosling, J Potter-The developmental psychometrics of big five self-reports: Acquiescence, factor structure, coherence, and differentiation from ages 10 to 20.",0.022542373,0.022546193,NA,230027,1.49E-27,<.001,"F(21, 230025) = 118.15",0.023841537,0.023846056,455306,NA,1.49E-58,2.20E-16,"F(21, 455304) = 261.93",0.002558068,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,TRUE,TRUE,0.001299863,0.001299164,0.057653341,-2.04E-18,1.00E-04,0.001482005,0.002085035,0.05,0.05,3.04E+53,3.29E-54,6.08E+53,1.64E-54,Inf,0,FALSE,NA
"CR Cox, J Arndt, T Pyszczynski, J Greenberg, A Abdollahi, S Solomon-Terror management and adults' attachment to their parents: The safe haven remains.",0.225490086,0.229432826,0.104828484,94,0.014311156,0.03,t(92)= -2.22,-0.052290282,-0.052338019,194,0.072357461,0.765260131,0.47,t(192) = -.73,0.127375873,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.281770845,-0.277780368,-1.22811914,0.47,0.03,0.072357461,0.104828484,-0.1,0.46,0.116571136,8.578452903,0.054937357,18.20255021,0.067701361,14.77075175,TRUE,0.755380134
"D AlbarracÕn, IM Handley, K Noguchi, KC McCulloch, H Li, J Leeper, RD Brown, A Earl, WP Hart-Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.",0.378345294,0.398127096,0.174077656,36,0.011095984,0.02,"F(1, 34) = 5.68",-0.030485538,-0.030494987,88,0.108465229,0.610702282,0.77,"F(1, 86) = .08",0.205104208,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.428622084,-0.408830832,-1.076596111,0.77,0.02,0.108465229,0.174077656,-0.06,0.82,0.138536546,7.218311899,0.108113467,9.249541544,0.072362569,13.81929934,TRUE,1.070616718
"D AlbarracÕn, IM Handley, K Noguchi, KC McCulloch, H Li, J Leeper, RD Brown, A Earl, WP Hart-Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.",0.208058463,0.211141101,NA,94,0.021996488,0.02,"F(2, 92) = 4.36",0.155043132,0.156303692,105,NA,0.057215076,0.085,"F(2, 99) = 2.601",0.144197547,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.054837409,-0.053015331,-0.259719253,0.085,0.02,0.099014754,0.104828484,0.31,0.43,0.417354411,2.39604512,0.785577936,1.272948176,2.270095602,0.440510082,FALSE,0.295844321
"DB Centerbar, S Schnall, GL Clore, ED Garvin-Affective incoherence: When affective concepts and embodied reactions clash.",0.20573686,0.208715672,0.087705802,133,0.008662786,<.02,"F(1, 131) = 5.79",0.094021673,0.094300205,113,0.095346259,0.161324503,0.322,"F(1, 111) = .99",0.129550055,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.114415467,-0.111715187,-0.548188194,0.322,0.05,0.095346259,0.087705802,0.19,0.42,0.19092926,5.237541897,0.319585884,3.129049339,0.830363096,1.204292442,FALSE,0.603406185
"DM Amodio, PG Devine, E Harmon-Jones-Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control.",0.377126878,0.396705897,0.182574186,33,0.014895892,0.03,"F(1, 31) = 5.14",0.076700677,0.07685162,75,0.11785113,0.257165874,0.513,"F(1, 73) = 0.432",0.217306747,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.319854277,-0.300426201,-0.806275579,0.513,0.03,0.11785113,0.182574186,0.15,0.81,0.177908028,5.620881808,0.263551536,3.79432431,0.260333949,3.841220108,TRUE,0.798399629
"E Harmon-Jones, C Harmon-Jones, M Fearn, JD Sigelman, P Johnson-Left frontal cortical activation and spreading of alternatives: Tests of the action-based model of dissonance.",0.229852265,0.234033486,NA,56,0.044210211,<.05,"F(2, 54) = 3.19",0.066130007,0.06622666,70,NA,0.293878744,0.74,"F(2, 68) = .3",0.183829534,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.167806825,-0.163722258,-0.717020579,0.74,0.05,0.122169444,0.137360564,0.13,0.47,0.172539267,5.795782128,0.242977991,4.115599102,0.528792211,1.891101985,FALSE,1.03572552
"E van Dijk, GA van Kleef, W Steinel, I van Beest-A social functional approach to emotions in bargaining: when communicating anger pays and when it backfires.",0.379139495,0.399054301,0.101015254,101,3.90E-05,<.0001,"F(1, 99) = 16.62",-0.042140104,-0.042165075,40,0.164398987,0.601209942,0.796,t(38) = -0.260,0.192953644,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.441219376,-0.421279599,-1.105662499,0.796,0.05,0.164398987,0.101015254,-0.08,0.82,0.203371665,4.917105831,0.162917404,6.138079626,0.067112301,14.90039798,FALSE,1.102167247
"EP Lemay, MS Clark-Walking on eggshells: How expressing relationship insecurities perpetuates them.",0.167288593,0.168875882,0.074329415,184,0.011543478,<.05,"F(1, 182) = 5.24",0.03675175,0.03676831,280,0.060084177,0.270286531,0.54,"F(1, 278) = .376",0.095577038,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.132107572,-0.130536843,-0.782276133,0.54,0.01,0.060084177,0.074329415,0.07,0.34,0.090179425,11.08900391,0.13150922,7.604029579,0.298629707,3.348628675,FALSE,0.825440953
"H Ersner-Hershfield, JA Mikels, SJ Sullivan, LL Carstensen-Poignancy: Mixed emotional experience in the face of meaningful endings.",0.219666896,0.22330609,0.096673649,110,0.010446952,<.05,t(108) = -2.34,-0.004719346,-0.004719381,222,0.067573738,0.527839679,0.94,t(220) = 0.07,0.11794916,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.228025471,-0.224386242,-1.021134135,0.94,0.01,0.067573738,0.096673649,-0.01,0.45,0.08422653,11.87274368,0.079552495,12.57031592,0.093144044,10.73605956,TRUE,1.323329264
J Correll-1/f noise and effort on implicit measures of bias.,0.274010238,0.28119448,0.122169444,70,0.010676725,<.02,"F(1, 68) = 5.52",0.073797292,0.073931699,147,0.083333333,0.187490894,0.374,"F(1,145) = .794",0.147884474,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.207262781,-0.200212946,-0.737079834,0.374,0.05,0.083333333,0.122169444,0.15,0.57,0.152512365,6.556845424,0.247436421,4.041442234,0.33525317,2.98282042,FALSE,0.658024964
"J F_rster, N Liberman, S Kuschel-The effect of global versus local processing styles on assimilation versus contrast in social judgment.",0.425496777,0.45438497,NA,78,4.16E-05,<.0001,"F(2, 76) = 21.57",0.11385379,0.114349602,67,NA,0.180149153,0.426,"F(2, 65) = 0.865",0.170171482,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.340035368,-0.311642987,-0.748342023,0.426,0.05,0.125,0.115470054,0.23,0.94,0.23027766,4.342583646,0.37627061,2.657661728,0.168312279,5.941337161,FALSE,0.711125316
"JJ Exline, RF Baumeister, AL Zell, AJ Kraft, CV Witvliet-Not so innocent: Does seeing one's own capacity for wrongdoing predict forgiveness?",0.431865646,0.462187796,0.158113883,43,0.001732646,<.01,"F(1, 41) = 9.40",0.011721165,0.011721702,133,0.087705802,0.446840477,0.89,"F(1, 131)=.018",0.180810143,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.450466094,-0.420144481,-0.97463866,0.89,NA,0.087705802,0.158113883,0.02,0.96,0.109438071,9.137587982,0.121009319,8.263826349,0.027212029,36.74845366,TRUE,1.232731072
"JL Risen, T Gilovich-Why people are reluctant to tempt fate.",0.185849827,0.188035057,0.093250481,118,0.021876401,<.05,"F(1, 116) = 4.15",0.003001488,0.003001497,224,0.067267279,0.482204917,0.961,"F(1, 222) = 0.002",0.114980603,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.18503356,-0.182848339,-0.984037567,0.961,0.001,0.067267279,0.093250481,0.01,0.38,0.083730114,11.94313433,0.086700223,11.53399568,0.166153111,6.01854515,TRUE,1.372005438
"KE Stanovich, RF West-On the relative independence of thinking biases and cognitive ability.",0.222131584,0.225897217,0.051847585,375,6.59E-06,<.001,t(373) = 4.40,0.073353737,0.07348573,177,0.075809804,0.166186953,0.332,t(175) = .973,0.091843881,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.152411487,-0.148777847,-0.674693957,0.332,NA,0.075809804,0.051847585,0.15,0.46,0.150037349,6.665007136,0.249870084,4.002079734,0.337892257,2.959523274,FALSE,0.614064785
"KL Blankenship, DT Wegener-Opening the mind to close it: Considering a message in light of important values increases message processing and later resistance to change.",0.207643072,0.210706954,0.0625,259,0.000374056,0.002,"F(1, 257) = 11.58",0.04449582,0.04452522,249,0.063757671,0.24247892,0.49,"F(1, 247) = .49",0.089282085,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,FALSE,FALSE,-0.166181733,-0.163147252,-0.788686517,0.49,0.002,0.063757671,0.0625,0.09,0.42,0.101152183,9.886094078,0.153110781,6.531218709,0.165674048,6.035948355,FALSE,0.775397497
"KR Morrison, DT Miller-Distinguishing between silent and vocal minorities: Not all deviants feel marginal.",0.322574106,0.334517516,NA,NA,NA,<.05,"X^2(1, N=37) = 3.85",0.2,0.202732554,NA,NA,NA,0.028,"X^2(1, N=120) = 4.80",NA,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,NA,TRUE,TRUE,-0.131784962,-0.122574106,-0.39395534,0.028,NA,NA,NA,0.41,0.68,NA,NA,NA,NA,NA,NA,NA,0.168122894
