authorsTitle.o,correlation.o,fis.o,seFish.o,n.o,pValFish.o,pVal.o,testStatistic.o,correlation.r,fis.r,n.r,seFish.r,pValFish.r,pVal.r,testStatistic.r,seDifference.ro,source,abrev,cohenD.o,cohenD.r,seCohenD.r,significant.r,significantSameDirection.r,fisherZDiff.ro,correlationDifference.ro,percentageChangeES.ro,cleanedpVal.r,cleanedpVal.o
"M Bassok, SF Pedigo, AT Oskarsson-Priming addition facts with semantic relations.",0.363732358,0.381180653,0.081378846,154,1.41E-06,<.001,"F(1, 152) = 23.176",0.284274426,0.292326186,50,0.145864991,0.022530352,0.045,"F(1, 48) = 4.22",0.167030274,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,TRUE,TRUE,-0.088854467,-0.079457932,-0.233103296,0.045,0.001
"M Couture, D Lafond, S Tremblay-Learning correct responses and errors in the Hebb repetition effect: two faces of the same coin.",0.348120689,0.36330369,NA,50,0.006374862,<.001,"F(3, 48) = 9.14",0.2733272,0.280456144,61,NA,0.016344176,0.002,"F(3, 59) = 5.681",0.196259968,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,TRUE,TRUE,-0.082847546,-0.074793489,-0.228039373,0.002,0.001
"MJ Yap, DA Balota, CS Tse, D Besner-On the additive effects of stimulus quality and word frequency in lexical decision: Evidence for opposing interactive influences revealed by RT distributional analyses.",0.378068955,0.397804632,0.182574186,33,0.014670823,0.03,"F(1, 31) = 5.17",0.379573968,0.399561811,72,0.120385853,0.000451687,0.001,"F(1,70)=11.783",0.218691762,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,TRUE,TRUE,0.001757179,0.001505013,0.00441719,0.001,0.03
"N Janssen, W Schirm, BZ Mahon, A Caramazza-Semantic interference in a delayed naming task: Evidence for the response exclusion hypothesis.",0.341773488,0.356099201,0.182574186,33,0.025562108,<.06,"F(1,31) = 4.1",0.103261105,0.103630491,92,0.105999788,0.164124201,0.33,"F1(1, 90) = .97",0.211114396,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.25246871,-0.238512383,-0.708984209,0.33,0.06
"NB Turk-Browne, PJ Isola, BJ Scholl, TA Treat-Multidimensional visual statistical learning.",0.73782079,0.945679455,0.40824829,9,0.010267343,0.023,t(7) = 2.892,0.703904904,0.874998613,16,0.277350098,0.000802897,0.002,t(14) = 3.708,0.493548117,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,TRUE,TRUE,-0.070680842,-0.033915886,-0.074740804,0.002,0.023
PA White-Accounting for occurrences: A new view of the use of contingency information in causal judgment.,0.623367433,0.730493922,0.169030851,38,7.74E-06,<.001,"F(1, 36) = 22.88",0.480717115,0.523916497,39,0.166666667,0.000834705,0.002,"F(1, 37) =11.12",0.237379878,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,TRUE,TRUE,-0.206577425,-0.142650318,-0.282791436,0.002,0.001
S Farrell-Multiple roles for time in short-term memory: Evidence from serial recall of order and timing.,0.516812354,0.571980599,0.162221421,41,0.000211003,0.001,t(39) = 3.77,0.315999964,0.327197057,41,0.162221421,0.021848898,0.044,t(39) = 2.08,0.229415734,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,TRUE,TRUE,-0.244783541,-0.20081239,-0.42795777,0.044,0.001
"S Pacton, P Perruchet-An attention-based associative account of adjacent and nonadjacent dependency learning.",0.713921386,0.895136293,0.229415734,22,4.77E-05,<.01,"F(1, 20) = 20.79",0.681560537,0.832022572,22,0.229415734,0.000143532,0.00048,"F(1, 20)=17.35",0.324442842,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,TRUE,TRUE,-0.06311372,-0.032360849,-0.070507386,0.00048,0.01
"T Makovski, R Sussman, YV Jiang-Orienting attention in visual working memory reduces interference from memory probes.",0.551178255,0.620072141,0.316227766,13,0.024948829,<.05,"F(1,11) = 4.8",0.349791589,0.365206269,19,0.25,0.072031726,0.142,"F(1,17)=2.37",0.403112887,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.254865872,-0.201386666,-0.411026162,0.142,0.05
"B Monin, PJ Sawyer, MJ Marquez-The rejection of moral rebels: Resenting those who do the right thing.",0.347251138,0.362314569,NA,66,0.002015135,<.01,"F(2, 64) = 10.17",0.161063754,0.162478589,74,NA,0.085488865,0.1469,"F(2, 72) = 1.97",0.173082417,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.19983598,-0.186187384,-0.551553807,0.1469,0.01
"BK Payne, MA Burkley, MB Stokes-Why do implicit and explicit attitude tests diverge? The role of structural fit.",0.352175067,0.36792462,0.123091491,69,0.001399306,<.01,t(67) = 3.08,0.150236955,0.151382854,178,0.075592895,0.022609748,0.045,t(176)= 2.016,0.144449994,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,TRUE,TRUE,-0.216541766,-0.201938112,-0.588549269,0.045,0.01
"CJ Soto, OP John, SD Gosling, J Potter-The developmental psychometrics of big five self-reports: Acquiescence, factor structure, coherence, and differentiation from ages 10 to 20.",0.022542373,0.022546193,NA,230027,1.49E-27,<.001,"F(21, 230025) = 118.15",0.023841537,0.023846056,455306,NA,1.49E-58,2.20E-16,"F(21, 455304) = 261.93",0.002558068,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,TRUE,TRUE,0.001299863,0.001299164,0.057653341,2.20E-16,0.001
"CR Cox, J Arndt, T Pyszczynski, J Greenberg, A Abdollahi, S Solomon-Terror management and adults' attachment to their parents: The safe haven remains.",0.225490086,0.229432826,0.104828484,94,0.014311156,0.03,t(92)= -2.22,-0.052290282,-0.052338019,194,0.072357461,0.765260131,0.47,t(192) = -.73,0.127375873,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.281770845,-0.277780368,-1.22811914,0.47,0.03
"D AlbarracÕn, IM Handley, K Noguchi, KC McCulloch, H Li, J Leeper, RD Brown, A Earl, WP Hart-Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.",0.378345294,0.398127096,0.174077656,36,0.011095984,0.02,"F(1, 34) = 5.68",-0.030485538,-0.030494987,88,0.108465229,0.610702282,0.77,"F(1, 86) = .08",0.205104208,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.428622084,-0.408830832,-1.076596111,0.77,0.02
"D AlbarracÕn, IM Handley, K Noguchi, KC McCulloch, H Li, J Leeper, RD Brown, A Earl, WP Hart-Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.",0.208058463,0.211141101,NA,94,0.021996488,0.02,"F(2, 92) = 4.36",0.155043132,0.156303692,105,NA,0.057215076,0.085,"F(2, 99) = 2.601",0.144197547,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.054837409,-0.053015331,-0.259719253,0.085,0.02
"DB Centerbar, S Schnall, GL Clore, ED Garvin-Affective incoherence: When affective concepts and embodied reactions clash.",0.20573686,0.208715672,0.087705802,133,0.008662786,<.02,"F(1, 131) = 5.79",0.094021673,0.094300205,113,0.095346259,0.161324503,0.322,"F(1, 111) = .99",0.129550055,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.114415467,-0.111715187,-0.548188194,0.322,0.02
"DM Amodio, PG Devine, E Harmon-Jones-Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control.",0.377126878,0.396705897,0.182574186,33,0.014895892,0.03,"F(1, 31) = 5.14",0.076700677,0.07685162,75,0.11785113,0.257165874,0.513,"F(1, 73) = 0.432",0.217306747,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.319854277,-0.300426201,-0.806275579,0.513,0.03
"E Harmon-Jones, C Harmon-Jones, M Fearn, JD Sigelman, P Johnson-Left frontal cortical activation and spreading of alternatives: Tests of the action-based model of dissonance.",0.229852265,0.234033486,NA,56,0.044210211,<.05,"F(2, 54) = 3.19",0.066130007,0.06622666,70,NA,0.293878744,0.74,"F(2, 68) = .3",0.183829534,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.167806825,-0.163722258,-0.717020579,0.74,0.05
"E van Dijk, GA van Kleef, W Steinel, I van Beest-A social functional approach to emotions in bargaining: when communicating anger pays and when it backfires.",0.379139495,0.399054301,0.101015254,101,3.90E-05,<.0001,"F(1, 99) = 16.62",-0.042140104,-0.042165075,40,0.164398987,0.601209942,0.796,t(38) = -0.260,0.192953644,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.441219376,-0.421279599,-1.105662499,0.796,1.00E-04
"EP Lemay, MS Clark-Walking on eggshells: How expressing relationship insecurities perpetuates them.",0.167288593,0.168875882,0.074329415,184,0.011543478,<.05,"F(1, 182) = 5.24",0.03675175,0.03676831,280,0.060084177,0.270286531,0.54,"F(1, 278) = .376",0.095577038,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.132107572,-0.130536843,-0.782276133,0.54,0.05
"H Ersner-Hershfield, JA Mikels, SJ Sullivan, LL Carstensen-Poignancy: Mixed emotional experience in the face of meaningful endings.",0.219666896,0.22330609,0.096673649,110,0.010446952,<.05,t(108) = -2.34,-0.004719346,-0.004719381,222,0.067573738,0.527839679,0.94,t(220) = 0.07,0.11794916,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.228025471,-0.224386242,-1.021134135,0.94,0.05
J Correll-1/f noise and effort on implicit measures of bias.,0.274010238,0.28119448,0.122169444,70,0.010676725,<.02,"F(1, 68) = 5.52",0.073797292,0.073931699,147,0.083333333,0.187490894,0.374,"F(1,145) = .794",0.147884474,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.207262781,-0.200212946,-0.737079834,0.374,0.02
"J F_rster, N Liberman, S Kuschel-The effect of global versus local processing styles on assimilation versus contrast in social judgment.",0.425496777,0.45438497,NA,78,4.16E-05,<.0001,"F(2, 76) = 21.57",0.11385379,0.114349602,67,NA,0.180149153,0.426,"F(2, 65) = 0.865",0.170171482,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.340035368,-0.311642987,-0.748342023,0.426,1.00E-04
"JJ Exline, RF Baumeister, AL Zell, AJ Kraft, CV Witvliet-Not so innocent: Does seeing one's own capacity for wrongdoing predict forgiveness?",0.431865646,0.462187796,0.158113883,43,0.001732646,<.01,"F(1, 41) = 9.40",0.011721165,0.011721702,133,0.087705802,0.446840477,0.89,"F(1, 131)=.018",0.180810143,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.450466094,-0.420144481,-0.97463866,0.89,0.01
"JL Risen, T Gilovich-Why people are reluctant to tempt fate.",0.185849827,0.188035057,0.093250481,118,0.021876401,<.05,"F(1, 116) = 4.15",0.003001488,0.003001497,224,0.067267279,0.482204917,0.961,"F(1, 222) = 0.002",0.114980603,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.18503356,-0.182848339,-0.984037567,0.961,0.05
"KE Stanovich, RF West-On the relative independence of thinking biases and cognitive ability.",0.222131584,0.225897217,0.051847585,375,6.59E-06,<.001,t(373) = 4.40,0.073353737,0.07348573,177,0.075809804,0.166186953,0.332,t(175) = .973,0.091843881,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.152411487,-0.148777847,-0.674693957,0.332,0.001
"KL Blankenship, DT Wegener-Opening the mind to close it: Considering a message in light of important values increases message processing and later resistance to change.",0.207643072,0.210706954,0.0625,259,0.000374056,0.002,"F(1, 257) = 11.58",0.04449582,0.04452522,249,0.063757671,0.24247892,0.49,"F(1, 247) = .49",0.089282085,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.166181733,-0.163147252,-0.788686517,0.49,0.002
"MD Henderson, Y de Liver, PM Gollwitzer-The effects of an implemental mind-set on attitude strength.",0.259958534,0.266063935,NA,45,0.042327628,<.05,"F(2, 43) = 3.36",0.15539539,0.156664646,69,0.123091491,0.101553455,0.19,"F (2, 67) = 1.70",0.197385508,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.109399289,-0.104563144,-0.411176692,0.19,0.05
"N Shnabel, A Nadler-A needs-based model of reconciliation: Satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation.",0.268278965,0.275008387,0.105999788,92,0.004737479,<.05,"F(1, 90) = 6.98",-0.101637251,-0.101989412,139,0.085749293,0.882857022,0.235,"F(1, 137) = 1.43",0.136341103,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.376997798,-0.369916216,-1.370859278,0.235,0.05
"NO Rule, N Ambady-The face of success: inferences from chief executive officers' appearance predict company profits.",0.3,0.309519604,0.158113883,43,0.025140019,<.05,r(41) = .30,0.27,0.276863823,43,0.158113883,0.039969462,0.086,r(41) = .27,0.223606798,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.032655782,-0.03,-0.105504728,0.086,0.05
"P Fischer, T Greitemeyer, D Frey-Self-regulation and selective exposure: The impact of depleted self-regulation resources on confirmatory information processing.",0.212014281,0.215279491,NA,84,0.026341185,0.02,"F(2, 82) = 4.05",0.118808574,0.11937237,139,NA,0.081944682,0.14,"F(2, 137) = 1.99",0.140351773,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.095907122,-0.093205707,-0.445500502,0.14,0.02
"PA Goff, CM Steele, PG Davies-The space between us: Stereotype threat and distance in interracial contexts.",0.395559206,0.418373378,0.141421356,53,0.001546471,<.01,"F(1, 51) = 9.46",0.013045451,0.013046191,49,0.147441956,0.46474617,0.928,"F(1, 47)= .008",0.204301567,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.405327187,-0.382513755,-0.968816871,0.928,0.01
"SL Murray, JL Derrick, S Leder, JG Holmes-Balancing connectedness and self-protection goals in close relationships: A levels-of-processing perspective on risk regulation.",0.317462994,0.328823223,0.110431526,85,0.001452475,<.01,t(83) = 3.05,-0.1351,-0.135931069,70,0.122169444,0.86706927,0.265,t(68) = -1.124,0.164683014,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.464754292,-0.452562994,-1.413386464,0.265,0.01
"SM McCrea-Self-handicapping, excuse making, and counterfactual thinking: Consequences for self-esteem and future motivation.",0.344312999,0.358977419,0.2,28,0.036335845,<.05,t(26) = 1.87,0.28970838,0.298247896,61,0.131306433,0.011561741,0.01175,t(59)=2.325,0.239251707,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,TRUE,TRUE,-0.060729523,-0.054604619,-0.169173658,0.01175,0.05
"V Purdie-Vaughns, CM Steele, PG Davies, R Ditlmann, JR Crosby-Social identity contingencies: How diversity cues signal threat or safety for African Americans in mainstream institutions.",0.378274916,0.398044964,0.11785113,75,0.000365708,0.001,"F(1, 73) = 12.19",-0.036935346,-0.036952156,1488,0.025949965,0.92277345,0.154,"F(1,1486)=2.03",0.120674312,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.434997119,-0.415210262,-1.092834125,0.154,0.001
"B Dessalegn, B Landau-More than meets the eye: the role of language in binding and maintaining feature conjunctions.",0.381744212,0.402099817,0.174077656,36,0.010447189,<.05,"F(1, 34) = 5.8",-0.222920955,-0.226727713,47,0.150755672,0.933701786,0.132,t(45) = 1.534,0.230283093,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.628827529,-0.604665167,-1.563859279,0.132,0.05
"B Eitam, RR Hassin, Y Schul-Nonconscious goal pursuit in novel environments: The case of implicit learning.",0.222330235,0.226106189,0.10976426,86,0.019702836,prep = .92,t(84) = 2.09,0.104941786,0.105329585,158,0.080321933,0.094870994,0.189,t(156) = 1.318,0.136013991,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.120776603,-0.117388449,-0.534158769,0.189,NA
"C Farris, TA Treat, RJ Viken, RM McFall-Perceptual mechanisms that characterize gender differences in decoding women's sexual intent",0.554427187,0.624750857,0.060084177,280,1.27E-25,<.001,"F(1, 278) = 123.38",0.091162691,0.091416498,144,0.084215192,0.138847749,0.28,"F(1, 142) = 1.19",0.103451954,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.533334359,-0.463264496,-0.853675274,0.28,0.001
"C Janiszewski, D Uy-Precision of the anchor influences the amount of adjustment.",0.333441051,0.346694778,0.136082763,57,0.005422158,prep = .947,"F(1, 55) = 6.88",0.225764222,0.229721667,118,0.093250481,0.006879579,0.014,"F(1,116) = 6.28",0.164967181,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,TRUE,TRUE,-0.116973111,-0.107676829,-0.337395076,0.014,NA
"C McKinstry, R Dale, MJ Spivey-Action dynamics reveal parallel competition in decision making",0.701088742,0.869438514,0.353553391,11,0.006963447,<.05,"F(1, 9) = 8.7",0.750404422,0.973880109,11,0.353553391,0.002938655,0.01,"F(1, 9) = 11.6",0.5,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,TRUE,TRUE,0.104441595,0.04931568,0.120125338,0.01,0.05
"DA Armor, C Massey, AM Sackett-Prescribed optimism: Is it right to be wrong about the future?",0.681152182,0.831260365,0.090166963,126,1.50E-20,prep > .99,t(124) =10.36,0.763508789,1.004574845,177,0.075809804,2.22E-40,1.00E-12,t(175) = 15.64,0.117801561,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,TRUE,TRUE,0.173314479,0.082356607,0.208496022,1.00E-12,NA
"DR Addis, AT Wong, DL Schacter-Age-related changes in the episodic simulation of future events",0.570693584,0.648550827,0.185695338,32,0.000239213,prep = .99,"F(1,30) = 14.49",0.652730428,0.780041331,32,0.185695338,1.33E-05,0.0001,"F (1,30) = 22.27",0.262612866,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,TRUE,TRUE,0.131490504,0.082036844,0.202745102,1.00E-04,NA
"E Nurmsoo, P Bloom-Preschoolers' perspective taking in word learning: do they blindly follow eye gaze?",0.501799075,0.551707796,0.182574186,33,0.001256266,prep = .97,t(31) = 3.23,-0.450187899,-0.484935914,10,0.377964473,0.900257435,0.197,t(7) = -1.426,0.419750493,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-1.03664371,-0.951986974,-1.878972378,0.197,NA
"E Vul, H Pashler-Measuring the crowd within: Probabilistic representations within individuals.",0.28771881,0.296077402,0.076471911,174,5.40E-05,<.01,t(172) = 3.94,0.322727228,0.334688431,141,0.085125653,4.22E-05,0.001,t(139) = 4.02,0.114430459,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,TRUE,TRUE,0.038611028,0.035008418,0.130408563,0.001,0.01
"E Vul, M Nieuwenstein, N Kanwisher-Temporal selection is suppressed, delayed, and diffused during the attentional blink.",0.130782132,0.13153551,NA,662,0.000366875,<.00001,"F(18, 660) = 16.31",0.120519146,0.121107793,662,NA,0.000938743,1.00E-12,"F(18, 660) = 12.98",0.055089939,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,TRUE,TRUE,-0.010427717,-0.010262986,-0.079276821,1.00E-12,1.00E-05
"EJ Masicampo, RF Baumeister-Toward a physiology of dual-process reasoning and judgment: lemonade, willpower, and expensive rule-based analysis.",0.21368683,0.217031412,0.095346259,113,0.011415685,prep = .92,"F(1, 111) = 5.311",-0.048918238,-0.048957314,160,0.079808688,0.730205094,0.539,"F(1, 158) = 0.379",0.124339599,"OSC (2015) 
 General Psychology",OSCRPP,NA,NA,NA,FALSE,FALSE,-0.265988727,-0.262605068,-1.22557709,0.539,NA
